E (eV)  dos(E)      O 2p(E)    Ti 3d(E)   
16.500  0.226E+01  0.117E+00  0.484E+00
16.600  0.460E+01  0.308E+00  0.134E+01
16.700  0.350E+01  0.185E+00  0.727E+00
16.800  0.203E+01  0.565E-01  0.137E+00
16.900  0.209E+01  0.456E-01  0.749E-01
17.000  0.247E+01  0.487E-01  0.600E-01
17.100  0.194E+01  0.326E-01  0.187E-01
17.200  0.141E+01  0.216E-01  0.387E-02
17.300  0.494E+00  0.606E-02  0.966E-03
17.400  0.132E+01  0.472E-02  0.718E-02
17.500  0.296E+01  0.144E-01  0.334E-01
17.600  0.282E+01  0.646E-02  0.879E-01
17.700  0.506E+01  0.388E-02  0.276E+00
17.800  0.647E+01  0.160E-01  0.372E+00
17.900  0.418E+01  0.352E-01  0.213E+00
18.000  0.401E+01  0.810E-01  0.143E+00
18.100  0.505E+01  0.149E+00  0.130E+00
